  X  Y  Depth
   92  144  -9999.000
   93  144  -9999.000
   94  144  -9999.000
   95  144  -9999.000
   96  144  -9999.000
   97  144  -9999.000
   98  144  -9999.000
   99  144  -9999.000
  100  144  -9999.000
  101  144  -9999.000
  102  144  -9999.000
  103  144  -9999.000
  104  144  -9999.000
  105  144  -9999.000
  106  144  -9999.000
  107  144  -9999.000
  108  144  -9999.000
  109  144  -9999.000
  110  144  -9999.000
  111  144  -9999.000
  112  144  -9999.000
  113  144  -9999.000
  114  144  -9999.000
  115  144  -9999.000
  116  144  -9999.000
  117  144  -9999.000
  118  144  -9999.000
  119  144  -9999.000
  120  144  -9999.000
  121  144  -9999.000
  122  144  -9999.000
  123  144  -9999.000
  124  144  -9999.000
  125  144  -9999.000
  126  144  -9999.000
  127  144  -9999.000
  128  144  -9999.000
  129  144  -9999.000
  130  144  -9999.000
  131  144  -9999.000
  132  144  -9999.000
  133  144  -9999.000
  134  144  -9999.000
  135  144  -9999.000
  136  144  -9999.000
  137  144  -9999.000
  138  144  -9999.000
  139  144  -9999.000
  140  144  -9999.000
  141  144  -9999.000
  142  144  -9999.000
  143  144  -9999.000
  144  144  -9999.000
  145  144  -9999.000
  146  144  -9999.000
  147  144  -9999.000
  148  144  -9999.000
  149  144  -9999.000
  150  144  -9999.000
  151  144  -9999.000
  152  144  -9999.000
  153  144  -9999.000
  154  144  -9999.000
  155  144  -9999.000
  156  144  -9999.000
  157  144  -9999.000
  158  144  -9999.000
  159  144  -9999.000
  160  144  -9999.000
  161  144  -9999.000
  162  144  -9999.000
  163  144  -9999.000
  164  144  -9999.000
  165  144  -9999.000
  166  144  -9999.000
  167  144  -9999.000
  168  144  -9999.000
  169  144  -9999.000
  170  144  -9999.000
  171  144  -9999.000
  172  144  -9999.000
  173  144  -9999.000
  174  144  -9999.000
  175  144  -9999.000
  176  144  -9999.000
  177  144  -9999.000
  178  144  -9999.000
  179  144  -9999.000
  180  144  -9999.000
  181  144  -9999.000
  182  144  -9999.000
  183  144  -9999.000
  184  144  -9999.000
  185  144  -9999.000
  186  144  -9999.000
  187  144  -9999.000
  188  144  -9999.000
  189  144  -9999.000
  190  144  -9999.000
  191  144  -9999.000
  192  144  -9999.000
  193  144  -9999.000
  194  144  -9999.000
    1  143  -9999.000
    2  143  -9999.000
    3  143  -9999.000
    4  143  -9999.000
    5  143  -9999.000
    6  143  -9999.000
    7  143  -9999.000
    8  143  -9999.000
    9  143  -9999.000
   10  143  -9999.000
   11  143  -9999.000
   12  143  -9999.000
   13  143  -9999.000
   14  143  -9999.000
   15  143  -9999.000
   16  143  -9999.000
   17  143  -9999.000
   18  143  -9999.000
   19  143  -9999.000
   20  143  -9999.000
   21  143  -9999.000
   22  143  -9999.000
   23  143  -9999.000
   24  143  -9999.000
   25  143  -9999.000
   26  143  -9999.000
   27  143  -9999.000
   28  143  -9999.000
   29  143  -9999.000
   30  143  -9999.000
   31  143  -9999.000
   32  143  -9999.000
   33  143  -9999.000
   34  143  -9999.000
   35  143  -9999.000
   36  143  -9999.000
   37  143  -9999.000
   38  143  -9999.000
   39  143  -9999.000
   40  143  -9999.000
   41  143  -9999.000
   42  143  -9999.000
   43  143  -9999.000
   44  143  -9999.000
   45  143  -9999.000
   46  143  -9999.000
   47  143  -9999.000
   48  143  -9999.000
   49  143  -9999.000
   50  143  -9999.000
   51  143  -9999.000
   52  143  -9999.000
   53  143  -9999.000
   54  143  -9999.000
   55  143  -9999.000
   56  143  -9999.000
   57  143  -9999.000
   58  143  -9999.000
   59  143  -9999.000
   60  143  -9999.000
   61  143  -9999.000
   62  143  -9999.000
   63  143  -9999.000
   64  143  -9999.000
   65  143  -9999.000
   66  143  -9999.000
   67  143  -9999.000
   68  143  -9999.000
   69  143  -9999.000
   70  143  -9999.000
   71  143  -9999.000
   72  143  -9999.000
   73  143  -9999.000
   74  143  -9999.000
   75  143  -9999.000
   76  143  -9999.000
   77  143  -9999.000
   78  143  -9999.000
   79  143  -9999.000
   80  143  -9999.000
   81  143  -9999.000
   82  143  -9999.000
   83  143  -9999.000
   84  143  -9999.000
   85  143  -9999.000
   86  143  -9999.000
   87  143  -9999.000
   88  143  -9999.000
   89  143  -9999.000
   90  143  -9999.000
   91  143  -9999.000
   92  143  -9999.000
   93  143  -9999.000
   94  143  -9999.000
   95  143  -9999.000
   96  143  -9999.000
   97  143  -9999.000
   98  143  -9999.000
   99  143  -9999.000
  100  143  -9999.000
  101  143  -9999.000
  102  143  -9999.000
  103  143  -9999.000
  104  143  -9999.000
  105  143  -9999.000
  106  143  -9999.000
  107  143  -9999.000
  108  143  -9999.000
  109  143  -9999.000
  110  143  -9999.000
  111  143  -9999.000
  112  143  -9999.000
  113  143  -9999.000
  114  143  -9999.000
  115  143  -9999.000
  116  143  -9999.000
  117  143  -9999.000
  118  143  -9999.000
  119  143  -9999.000
  120  143  -9999.000
  121  143  -9999.000
  122  143  -9999.000
  123  143  -9999.000
  124  143  -9999.000
  125  143  -9999.000
  126  143  -9999.000
  127  143  -9999.000
  128  143  -9999.000
  129  143  -9999.000
  130  143  -9999.000
  131  143  -9999.000
  132  143  -9999.000
  133  143  -9999.000
  134  143  -9999.000
  135  143  -9999.000
  136  143  -9999.000
